Prase,Pitch,Duration
25,69,1.0
25,71,0.5
25,73,0.5
25,74,1.5
25,72,0.5
25,71,0.5
25,69,0.5
25,67,1.0
25,69,1.0
25,62,1.0
25,62,1.0
25,64,0.5
25,62,0.5
25,60,0.5
25,62,0.5
25,64,1.0
25,62,1.0
25,69,1.0
25,67,0.5
25,69,0.5
25,71,1.0
25,64,3.0
25,64,1.0
25,62,1.0
25,62,1.0
25,64,0.5
25,62,0.5
25,60,0.5
25,72,0.5
25,71,0.5
25,69,0.5
25,71,1.0
25,72,1.0
25,74,0.5
25,62,0.5
25,64,1.0
25,62,1.0
25,62,1.0
25,62,1.0
25,60,0.5
25,62,0.5
25,64,0.5
25,65,0.5
25,62,1.0
25,67,1.5
25,65,0.5
25,64,1.0
25,65,1.0
25,67,1.0
25,65,0.5
25,67,0.5
25,69,1.0
25,62,1.0
25,64,3.0
