Phrase,Measure,Pitch,Duration
64,1,67,0.5
64,1,72,0.25
64,1,74,0.25
64,1,76,0.75
64,1,77,0.25
64,1,76,0.25
64,1,74,0.25
64,1,76,0.25
64,1,74,0.25
64,1,72,0.5
64,2,72,0.25
64,2,67,0.25
64,2,72,0.25
64,2,74,0.25
64,2,76,0.25
64,2,72,0.25
64,2,79,0.5
64,2,77,0.5
64,2,76,0.5
64,2,76,0.5
64,2,74,0.5
64,3,79,0.5
64,3,76,0.25
64,3,76,0.25
64,3,77,0.25
64,3,79,0.25
64,3,76,0.25
64,3,76,0.25
64,3,77,0.25
64,3,79,0.25
64,3,76,0.5
64,3,81,0.5
64,4,79,0.25
64,4,77,0.25
64,4,76,0.25
64,4,74,0.25
64,4,74,0.25
64,4,76,0.25
64,4,77,0.25
64,4,74,0.25
64,4,74,0.25
64,4,76,0.25
64,4,77,0.25
64,4,74,0.5
64,4,79,0.5
