Phrase,Measure,Pitch,Duration
1349,16,79,0.25
1349,16,81,0.25
1349,16,79,0.25
1349,16,77,0.25
1349,16,76,0.25
1349,16,74,0.25
1349,16,76,0.25
1349,16,77,0.25
1349,16,76,0.25
1349,16,77,0.25
1349,16,76,0.25
1349,16,74,0.25
1349,16,72,1.0
1349,17,79,0.25
1349,17,77,0.25
1349,18,79,0.25
1349,18,81,0.25
1349,18,79,0.25
1349,18,77,0.25
1349,18,76,0.25
1349,18,74,0.25
1349,18,76,0.25
1349,18,77,0.25
1349,18,76,0.25
1349,18,77,0.25
1349,18,76,0.25
1349,18,74,0.25
1349,18,72,1.0
1349,19,79,0.25
1349,19,77,0.25
