Phrase,Measure,Pitch,Duration
68,1,67,0.5
68,1,72,0.25
68,1,74,0.25
68,1,76,0.25
68,1,74,0.25
68,1,72,0.5
68,1,67,0.5
68,1,67,0.5
68,1,64,0.5
68,2,64,0.5
68,2,60,0.5
68,2,60,0.5
68,2,79,0.5
68,2,77,0.5
68,2,76,0.5
68,2,76,0.5
68,2,74,0.5
68,3,67,0.5
68,3,72,0.25
68,3,74,0.25
68,3,76,0.75
68,3,77,0.25
68,3,76,0.25
68,3,74,0.25
68,3,76,0.25
68,3,74,0.25
68,3,72,0.5
68,4,72,0.25
68,4,67,0.25
68,4,72,0.25
68,4,74,0.25
68,4,76,0.25
68,4,72,0.25
68,4,79,0.5
68,4,77,0.5
68,4,76,0.5
68,4,76,0.5
68,4,74,0.5
