Phrase,Measure,Pitch,Duration
2059,16,74,1.5
2059,16,72,0.25
2059,16,71,0.25
2059,16,72,0.25
2059,16,76,0.25
2059,16,74,0.25
2059,16,72,0.25
2059,16,71,0.5
2059,16,69,0.5
2059,17,67,0.5
2059,17,65,0.5
2059,17,64,0.5
2059,17,62,0.5
2059,17,60,0.5
2059,17,59,0.5
2059,17,57,0.5
2059,17,65,0.5
2059,18,65,0.5
2059,18,64,0.25
2059,18,62,0.25
2059,18,64,0.5
2059,18,67,0.5
2059,18,69,0.5
2059,18,71,0.5
2059,18,72,0.5
2059,18,64,0.5
2059,19,65,0.5
2059,19,67,0.5
2059,19,69,0.5
2059,19,77,1.0
2059,19,76,1.0
2059,19,74,0.5
