Phrase,Measure,Pitch,Duration
1819,15,60,1.0
1819,15,60,0.5
1819,15,55,0.5
1819,15,60,0.5
1819,15,55,0.5
1819,15,67,0.5
1819,15,65,0.25
1819,15,64,0.25
1819,16,65,0.5
1819,16,67,0.25
1819,16,65,0.25
1819,16,64,0.5
1819,16,62,0.5
1819,16,60,0.5
1819,16,55,0.5
1819,16,67,1.0
1819,17,67,0.5
1819,17,55,0.5
1819,17,62,0.5
1819,17,60,0.25
1819,17,59,0.25
1819,17,60,1.5
1819,17,48,0.5
1819,18,55,0.5
1819,18,55,0.25
1819,18,55,0.25
1819,18,52,2.0
1819,18,64,0.25
1819,18,62,0.25
1819,18,64,0.25
1819,18,65,0.25
