Phrase,Measure,Pitch,Duration
59,1,67,0.5
59,1,72,0.25
59,1,74,0.25
59,1,76,0.25
59,1,74,0.25
59,1,72,0.5
59,1,67,0.5
59,1,67,0.5
59,1,64,0.5
59,2,64,0.5
59,2,60,0.5
59,2,60,0.5
59,2,79,0.5
59,2,77,0.5
59,2,76,0.5
59,2,76,0.5
59,2,74,0.5
59,3,67,0.5
59,3,72,0.25
59,3,74,0.25
59,3,76,0.75
59,3,77,0.25
59,3,76,0.25
59,3,74,0.25
59,3,76,0.25
59,3,74,0.25
59,3,72,0.5
59,4,72,0.25
59,4,67,0.25
59,4,72,0.25
59,4,74,0.25
59,4,76,0.25
59,4,72,0.25
59,4,79,0.5
59,4,77,0.5
59,4,76,0.5
59,4,76,0.5
59,4,74,0.5
