Phrase,Measure,Pitch,Duration
1348,15,79,0.25
1348,15,77,0.25
1348,16,79,0.25
1348,16,81,0.25
1348,16,79,0.25
1348,16,77,0.25
1348,16,76,0.25
1348,16,74,0.25
1348,16,76,0.25
1348,16,77,0.25
1348,16,76,0.25
1348,16,77,0.25
1348,16,76,0.25
1348,16,74,0.25
1348,16,72,1.0
1348,17,79,0.25
1348,17,77,0.25
1348,18,79,0.25
1348,18,81,0.25
1348,18,79,0.25
1348,18,77,0.25
1348,18,76,0.25
1348,18,74,0.25
1348,18,76,0.25
1348,18,77,0.25
1348,18,76,0.25
1348,18,77,0.25
1348,18,76,0.25
1348,18,74,0.25
1348,18,72,1.0
