Phrase,Measure,Pitch,Duration
73,1,77,0.25
73,1,76,0.25
73,1,74,0.25
73,1,72,0.25
73,1,74,0.25
73,1,76,0.25
73,1,74,0.25
73,1,72,0.5
73,1,67,0.5
73,1,67,0.5
73,1,64,0.5
73,2,64,0.5
73,2,60,0.5
73,2,60,0.5
73,2,79,0.5
73,2,77,0.5
73,2,76,0.5
73,2,76,0.5
73,2,74,0.5
73,3,67,0.5
73,3,72,0.25
73,3,74,0.25
73,3,76,0.75
73,3,77,0.25
73,3,76,0.25
73,3,74,0.25
73,3,76,0.25
73,3,74,0.25
73,3,72,0.5
73,4,72,0.25
73,4,67,0.25
73,4,72,0.25
73,4,74,0.25
73,4,76,0.25
73,4,72,0.25
73,4,79,0.5
73,4,77,0.5
73,4,76,0.5
73,4,76,0.5
73,4,74,0.5
