Phrase,Measure,Pitch,Duration
60,1,79,0.5
60,1,76,0.25
60,1,76,0.25
60,1,77,0.25
60,1,79,0.25
60,1,76,0.25
60,1,76,0.25
60,1,77,0.25
60,1,79,0.25
60,1,76,0.5
60,1,81,0.5
60,2,79,0.25
60,2,77,0.25
60,2,76,0.25
60,2,74,0.25
60,2,74,0.25
60,2,76,0.25
60,2,77,0.25
60,2,74,0.25
60,2,74,0.25
60,2,76,0.25
60,2,77,0.25
60,2,74,0.5
60,2,79,0.5
60,3,77,0.25
60,3,76,0.25
60,3,74,0.25
60,3,72,0.25
60,3,84,0.25
60,3,83,0.25
60,3,81,0.25
60,3,72,0.25
60,3,83,0.25
60,3,81,0.25
60,3,79,0.25
60,3,72,0.25
60,3,81,0.25
60,3,79,0.25
60,3,77,0.25
60,4,72,0.25
60,4,79,0.25
60,4,77,0.25
60,4,76,0.25
60,4,77,0.5
60,4,74,0.5
60,4,74,0.5
60,4,67,0.5
60,4,67,0.5
60,4,77,0.5
