Phrase,Measure,Pitch,Duration
1816,12,60,0.5
1816,12,55,0.5
1816,12,55,0.5
1816,12,52,0.25
1816,12,48,0.25
1816,12,55,0.5
1816,12,55,0.25
1816,12,55,0.25
1816,12,52,1.0
1816,13,62,0.5
1816,13,55,0.25
1816,13,55,0.25
1816,13,55,0.25
1816,13,55,0.25
1816,13,55,0.25
1816,13,55,0.25
1816,13,60,1.0
1816,14,60,1.0
1816,14,62,0.25
1816,14,60,0.25
1816,14,62,0.25
1816,14,64,0.25
1816,14,62,1.0
1816,14,60,1.0
1816,15,60,1.0
1816,15,60,0.5
1816,15,55,0.5
1816,15,60,0.5
1816,15,55,0.5
1816,15,67,0.5
1816,15,65,0.25
1816,15,64,0.25
