Phrase,Measure,Pitch,Duration
74,1,79,0.5
74,1,76,0.25
74,1,76,0.25
74,1,77,0.25
74,1,79,0.25
74,1,76,0.25
74,1,76,0.25
74,1,77,0.25
74,1,79,0.25
74,1,76,0.5
74,1,81,0.5
74,2,79,0.25
74,2,77,0.25
74,2,76,0.25
74,2,74,0.25
74,2,74,0.25
74,2,76,0.25
74,2,77,0.25
74,2,74,0.25
74,2,74,0.25
74,2,76,0.25
74,2,77,0.25
74,2,74,0.5
74,2,79,0.5
74,3,77,0.25
74,3,76,0.25
74,3,74,0.25
74,3,72,0.25
74,3,84,0.25
74,3,83,0.25
74,3,81,0.25
74,3,72,0.25
74,3,83,0.25
74,3,81,0.25
74,3,79,0.25
74,3,72,0.25
74,3,81,0.25
74,3,79,0.25
74,3,77,0.25
74,4,72,0.25
74,4,79,0.25
74,4,77,0.25
74,4,76,0.25
74,4,77,0.5
74,4,74,0.5
74,4,74,0.5
74,4,67,0.5
74,4,67,0.5
74,4,77,0.5
