Phrase,Measure,Pitch,Duration
69,2,79,0.5
69,2,76,0.25
69,2,76,0.25
69,2,77,0.25
69,2,79,0.25
69,2,76,0.25
69,2,76,0.25
69,2,77,0.25
69,2,79,0.25
69,2,76,0.5
69,2,81,0.5
69,3,79,0.25
69,3,77,0.25
69,3,76,0.25
69,3,74,0.25
69,3,74,0.25
69,3,76,0.25
69,3,77,0.25
69,3,74,0.25
69,3,74,0.25
69,3,76,0.25
69,3,77,0.25
69,3,74,0.5
69,3,79,0.5
69,4,77,0.25
69,4,76,0.25
69,4,74,0.25
69,4,72,0.25
69,4,84,0.25
69,4,83,0.25
69,4,81,0.25
69,4,72,0.25
69,4,83,0.25
69,4,81,0.25
69,4,79,0.25
69,4,72,0.25
69,4,81,0.25
69,4,79,0.25
69,4,77,0.25
