Phrase,Measure,Pitch,Duration
2058,15,76,0.5
2058,15,77,0.5
2058,15,79,1.0
2058,15,67,0.5
2058,15,69,0.5
2058,15,71,0.5
2058,15,72,0.5
2058,16,74,1.5
2058,16,72,0.25
2058,16,71,0.25
2058,16,72,0.25
2058,16,76,0.25
2058,16,74,0.25
2058,16,72,0.25
2058,16,71,0.5
2058,16,69,0.5
2058,17,67,0.5
2058,17,65,0.5
2058,17,64,0.5
2058,17,62,0.5
2058,17,60,0.5
2058,17,59,0.5
2058,17,57,0.5
2058,17,65,0.5
2058,18,65,0.5
2058,18,64,0.25
2058,18,62,0.25
2058,18,64,0.5
2058,18,67,0.5
2058,18,69,0.5
2058,18,71,0.5
2058,18,72,0.5
2058,18,64,0.5
