Phrase,Measure,Pitch,Duration
65,1,77,0.25
65,1,76,0.25
65,1,74,0.25
65,1,72,0.25
65,1,84,0.25
65,1,83,0.25
65,1,81,0.25
65,1,72,0.25
65,1,83,0.25
65,1,81,0.25
65,1,79,0.25
65,1,72,0.25
65,1,81,0.25
65,1,79,0.25
65,1,77,0.25
65,2,72,0.25
65,2,79,0.25
65,2,77,0.25
65,2,76,0.25
65,2,77,0.5
65,2,74,0.5
65,2,74,0.5
65,2,67,0.5
65,2,67,0.5
65,2,77,0.5
65,3,79,0.5
65,3,77,0.25
65,3,76,0.25
65,3,74,0.25
65,3,72,0.25
65,3,76,0.5
65,3,74,0.5
65,3,72,1.0
65,4,72,0.25
65,4,76,0.25
65,4,77,0.25
65,4,76,0.25
65,4,72,1.25
65,4,76,0.25
65,4,77,0.25
65,4,76,0.25
65,4,72,0.25
65,4,76,0.25
65,4,77,0.25
65,4,76,0.25
