Phrase,Measure,Pitch,Duration
1350,17,79,0.25
1350,17,77,0.25
1350,18,79,0.25
1350,18,81,0.25
1350,18,79,0.25
1350,18,77,0.25
1350,18,76,0.25
1350,18,74,0.25
1350,18,76,0.25
1350,18,77,0.25
1350,18,76,0.25
1350,18,77,0.25
1350,18,76,0.25
1350,18,74,0.25
1350,18,72,1.0
1350,19,79,0.25
1350,19,77,0.25
1350,20,79,0.25
1350,20,81,0.25
1350,20,79,0.25
1350,20,77,0.25
1350,20,76,0.25
1350,20,74,0.25
1350,20,76,0.25
1350,20,77,0.25
1350,20,76,0.25
1350,20,77,0.25
1350,20,76,0.25
1350,20,74,0.25
1350,20,72,1.0
