Phrase,Measure,Pitch,Duration
1810,6,60,0.5
1810,6,55,0.5
1810,6,55,0.5
1810,6,52,0.25
1810,6,48,0.25
1810,6,55,0.5
1810,6,55,0.25
1810,6,55,0.25
1810,6,52,1.0
1810,7,60,1.0
1810,7,62,0.5
1810,7,55,0.5
1810,7,60,0.5
1810,7,48,0.5
1810,7,52,0.5
1810,7,48,0.5
1810,8,52,0.5
1810,8,55,0.5
1810,8,60,0.25
1810,8,65,0.25
1810,8,64,0.25
1810,8,62,0.25
1810,8,60,0.5
1810,8,62,0.5
1810,8,64,1.0
1810,9,64,1.0
1810,9,60,0.5
1810,9,62,0.25
1810,9,64,0.25
1810,9,65,0.5
1810,9,67,0.25
1810,9,65,0.25
1810,9,64,0.5
1810,9,62,0.5
